session_id,user_id,session_date,session_duration_minutes,pages_viewed
7923cab0-d3e4-4fa3-af47-e168a4646187,1,2024-09-26 03:07:58,24.83,18
e889ca30-01cd-43c0-967c-9aaa683483bf,1,2024-08-07 10:52:52,27.96,5
7bc2acdc-f59b-4c5f-bf48-009598b09a15,1,2024-05-21 09:17:28,8.05,13
3532df57-6bc4-40a8-90bb-694c71d02d52,2,2024-03-28 02:01:26,15.91,20
38b69cb5-c38f-40ee-8281-4321a382c215,2,2024-07-16 16:46:48,2.03,9
68e8acd7-0113-41b8-a577-b478e53fe2b2,2,2024-10-11 12:49:33,25.73,19
0ddd2c13-61c1-4476-ac5e-88275dfe4823,2,2024-11-04 15:08:51,28.27,8
285c9106-ee84-48ab-a3d9-d2d6bcac767c,2,2024-08-19 11:07:49,1.76,13
dc7fc215-f214-4647-a05f-f42e2fe6ffa6,2,2024-03-31 02:50:52,23.89,7
9e7b189a-a617-45c1-9833-3de73ad737df,2,2024-12-11 05:31:50,12.19,8
85622998-7978-4595-983a-2b621ad54b29,2,2024-04-08 00:12:01,17.98,8
badd203d-a2c5-47bd-be10-44e9d405f485,2,2024-10-07 22:03:22,15.5,3
1bef19bc-64ce-4adf-b711-0e10b7130b32,2,2024-07-16 04:45:10,16.99,2
f3ca83ad-688a-4d9d-a800-9896d1000825,2,2024-05-08 04:43:32,15.36,1
7e4e3a61-35c1-4a12-bcdb-2313841df8ef,3,2024-05-04 10:34:21,26.24,13
767e1c05-4c7a-42b8-9542-04e60f8de34c,3,2024-06-19 13:37:31,22.43,19
8ffabd44-e31d-4e58-9ce2-d637703edab7,3,2024-06-23 22:36:09,28.11,1
0e6387a0-5729-4120-bd54-e364b70d86a5,3,2024-07-10 20:07:06,2.15,1
e449e5af-b0ab-42f4-87f6-d7fa9630d772,3,2024-01-15 00:43:57,26.02,5
7915aa52-d6d1-4776-84c0-f2ed221a7421,3,2024-05-06 23:19:21,23.96,17
a1a56788-bac2-4a8c-8b56-1eac63867a35,4,2024-11-26 22:17:00,16.28,6
40e23f94-d8cf-4023-b882-eb10b29cab70,4,2024-03-18 16:02:48,22.47,2
084e9128-37c7-4cc1-9030-0eff7b3e71ed,4,2024-02-21 19:07:22,18.28,1
4fbeefbe-9403-487d-82c7-af3267efdf9e,4,2024-05-09 02:19:50,9.48,16
f15e7118-affe-4df0-8255-cc3aca5b5450,5,2024-10-10 19:38:14,12.64,16
8153884e-9ec2-4e4c-aba6-5804118c0875,5,2024-04-13 00:20:38,22.96,7
e2cbd062-f623-4786-8386-ced3e4216387,6,2024-08-20 17:25:33,14.17,10
76296aad-6e59-4cfa-8ebc-9c64281fc07c,6,2024-12-29 12:56:48,6.2,17
7ad24921-c6d7-4471-aaa7-6da6f9fb4cf5,6,2024-11-15 18:51:51,19.22,17
01b2c1a5-f42e-4b65-89c3-d1561032418c,6,2024-04-18 00:08:05,6.51,13
5a55f6d8-d102-46ab-97f0-efc9ec893338,6,2024-08-25 04:38:04,14.97,14
c654e378-281b-4561-9cf2-f5d782040842,6,2024-08-31 07:37:35,6.96,4
dff4c0a0-ec0a-4da8-8d7b-0aeb4110a85d,6,2024-05-08 21:38:27,6.27,10
7baf89b3-e0d5-4507-a4e0-e80d36d0a730,7,2024-04-30 03:09:27,9.9,3
d2d06dd8-0cfa-4b62-a3c8-01839b8ef2eb,7,2024-10-26 11:45:11,21.25,4
a710c7b9-d341-4e24-a5d0-b307d79864c1,8,2024-09-16 17:47:20,15.64,2
1910186b-39d9-4cf3-a7df-cb4d2d3aad94,8,2024-06-05 05:38:46,22.75,5
9d9a04e0-f825-4280-ab1a-ed95330cb7fe,8,2024-12-14 00:39:10,24.3,16
7909a3b8-bf17-4487-a28e-c5cbd7916851,8,2024-04-26 23:11:02,27.78,3
b28ed65e-8963-4e1f-a323-3744672a96c3,8,2024-12-22 05:16:36,15.42,3
31e1c114-7d4a-40d0-936a-51fdba343b75,9,2024-09-29 14:57:26,21.06,14
cdaef79c-74a0-469a-bdb1-7b7956eaa3ed,9,2024-11-02 15:37:41,22.26,16
7c70459c-e859-4cb9-9a37-6080ff4083af,9,2024-02-19 18:25:36,6.61,6
ddceae06-dc19-44ae-a316-b142ba76608f,9,2024-08-15 17:06:11,29.47,4
af66e638-1caf-4bc1-a277-a8130e13aed4,10,2024-06-15 03:17:37,18.27,19
ffbdffe7-dc94-4081-a4a8-ac1b76a16a6f,10,2024-05-28 12:24:26,16.62,15
dd5fff6a-6851-40cc-a56b-1d1d96c8c50e,10,2024-04-16 05:11:35,2.24,10
796bd05d-721b-475b-ab58-84f0c650edce,10,2024-11-24 03:59:17,20.76,3
3b346bee-58ab-4202-a397-d21560861e57,11,2024-07-06 16:04:02,12.61,18
e2b5af0b-0c86-48bc-836c-bbcd2f6f36b7,11,2024-03-20 17:44:23,10.12,11
bf221f83-d92c-4c1a-9c77-461079c9e737,11,2024-08-16 19:11:09,5.27,12
fc6b29c4-9623-41c9-a2c8-0955408b5b32,11,2024-05-26 10:15:11,24.81,10
629b6525-12f1-44ef-9239-64c96739d828,11,2024-06-18 10:43:25,14.01,10
3df69892-9bef-4751-86c0-8ad83cbc8c14,12,2024-05-03 05:27:10,18.08,5
758426d2-71f3-42e6-8c2c-2ce518403eac,12,2024-12-22 01:12:21,13.53,18
22f4d393-3a1e-4c8c-b69b-3338b07e4dd7,12,2024-01-15 08:18:39,2.14,3
8e926fc6-4084-44ba-9da5-6f0f7c0e431b,12,2024-02-29 06:50:40,22.29,18
da981fb6-dd85-4842-9606-cb847aa17701,12,2024-10-28 22:57:39,8.97,7
2037c3ab-94c8-4afb-9be1-e7f46c1d36ee,12,2024-10-15 12:07:41,27.69,2
9224d077-7614-484c-98f9-0700baf2c851,12,2024-12-08 14:44:11,9.14,1
3e7833a5-7abe-4889-8b8e-1e2df1a920c5,13,2024-08-17 00:41:36,3.38,14
d9726d81-9c9b-44a2-a18f-22500afe776b,13,2024-11-01 21:14:45,2.63,2
9f69e569-9b2a-4833-bba7-5c62159d9a51,13,2024-02-25 00:10:45,8.77,10
d85b9fc1-e696-41e7-9762-ea4725ae42d0,14,2024-03-26 22:42:09,19.45,3
36c7f9a5-b8fc-4b60-96be-d6873d20c1e3,14,2024-07-04 07:58:49,6.68,19
b68fe9e4-0e66-4b3d-809a-fb51d55886b3,14,2024-09-18 14:10:24,27.51,17
19bcb10a-8abe-4715-bf70-0a453b87285c,15,2024-12-13 01:45:43,27.8,18
ab1b5da7-eade-469c-8e0d-6193d66212dc,15,2024-12-24 12:20:26,26.68,6
e1a6197a-0000-4aeb-b91d-0fe3f2702dc4,15,2024-06-09 10:08:32,19.49,12
bed44d57-3372-4746-abf6-8faede9ae169,15,2024-07-30 02:59:39,23.27,18
1eaa88dc-37bb-4c63-ad4d-97117eb29dbc,16,2024-11-21 07:59:33,20.79,14
